Player,Squad,Pos_Category,GA_per90,Prog_Total,CrdY_per90,Min,Reliability_Score,Discipline_Score,Player_Rating
Yunis Abdelhamid,Saint-Étienne,Defender,0.0,29,0.17391304347826086,1033,30.2046783625731,74.34782608695652,38.1
Himad Abdelli,Angers,Attacker,0.22151898734177214,425,0.12658227848101264,2842,83.09941520467837,81.32911392405063,34.6
Ali Abdi,Nice,Midfielder,0.45161290322580644,178,0.12903225806451613,1393,40.73099415204678,80.96774193548387,42.4
Abel,Osasuna,Defender,0.08695652173913043,219,0.13043478260869565,2074,60.64327485380117,80.76086956521739,60.1
Matthis Abline,Nantes,Attacker,0.35714285714285715,292,0.09740259740259741,2768,80.93567251461988,85.63311688311688,36.5
Abner,Lyon,Defender,0.1652892561983471,152,0.08264462809917356,1090,31.871345029239766,87.80991735537191,46.1
Zakaria Aboukhlal,Toulouse,Attacker,0.42654028436018954,220,0.1895734597156398,1901,55.58479532163743,72.03791469194313,35.0
Abdel Abqar,Alavés,Defender,0.03649635036496351,99,0.4744525547445256,2463,72.01754385964912,30.01824817518247,47.5
Tammy Abraham,Milan,Attacker,0.5343511450381679,103,0.07633587786259542,1183,34.5906432748538,88.74045801526718,38.1
Francesco Acerbi,Inter,Defender,0.05263157894736842,103,0.0,1710,50.0,100.0,57.6
Akor Adams,Montpellier,Attacker,0.3361344537815126,62,0.1680672268907563,1075,31.432748538011694,75.21008403361344,26.8
Che Adams,Torino,Attacker,0.4067796610169492,216,0.06779661016949153,2652,77.54385964912281,90.0,36.7
Tyler Adams,Bournemouth,Midfielder,0.13761467889908258,100,0.3211009174311926,1965,57.45614035087719,52.63761467889909,23.6
Junior Adamu,Freiburg,Attacker,0.23255813953488372,106,0.29069767441860467,1545,45.17543859649123,57.122093023255815,21.3
Tosin Adarabioyo,Chelsea,Defender,0.12738853503184713,48,0.25477707006369427,1409,41.198830409356724,62.42038216560509,40.5
Karim Adeyemi,Dortmund,Attacker,0.8176100628930817,249,0.25157232704402516,1433,41.900584795321635,62.893081761006286,50.3
Simon Adingra,Brighton,Attacker,0.3278688524590164,204,0.0,1097,32.07602339181286,100.0,34.7
Yacine Adli,Fiorentina,Midfielder,0.7299270072992701,157,0.21897810218978103,1234,36.081871345029235,67.7007299270073,43.0
Adrián,Betis,Goalkeeper,0.0,0,0.15789473684210525,1710,50.0,76.71052631578948,58.0
Oladapo Afolayan,St. Pauli,Attacker,0.21978021978021978,193,0.16483516483516483,1639,47.92397660818713,75.68681318681318,26.3
Emmanuel Agbadou,Wolves,Defender,0.06369426751592357,39,0.1910828025477707,1410,41.228070175438596,71.81528662420382,43.2
Emmanuel Agbadou,Reims,Defender,0.0,87,0.21428571428571427,1260,36.84210526315789,68.39285714285714,41.2
Julen Agirrezabala,Athletic Club,Goalkeeper,0.0,0,0.07462686567164178,1206,35.26315789473684,88.99253731343283,51.4
Lucien Agoume,Sevilla,Midfielder,0.1702127659574468,187,0.2127659574468085,2114,61.81286549707602,68.61702127659575,33.5
Felix Agu,Werder Bremen,Defender,0.15384615384615385,181,0.05128205128205128,1751,51.198830409356724,92.43589743589745,57.9
